@RELATION corpus

@ATTRIBUTE CRFSO1 REAL
@ATTRIBUTE CRFANP1 REAL
@ATTRIBUTE WRDADJ REAL
@ATTRIBUTE WRDPRO REAL
@ATTRIBUTE DRNEG REAL
@ATTRIBUTE DESWLsyd REAL
@ATTRIBUTE DESWLltd REAL
@ATTRIBUTE DESWLsy REAL
@ATTRIBUTE CRFCWOa REAL
@ATTRIBUTE DESSC REAL
@ATTRIBUTE DRNP REAL
@ATTRIBUTE CRFSOa REAL
@ATTRIBUTE CRFAO1 REAL
@ATTRIBUTE DESWC REAL
@ATTRIBUTE DESSL REAL
@ATTRIBUTE WRDVERB REAL
@ATTRIBUTE CNCADC REAL
@ATTRIBUTE DRVP REAL
@ATTRIBUTE SYNNP REAL
@ATTRIBUTE RDFFGL REAL
@ATTRIBUTE CNCCaus REAL
@ATTRIBUTE LDTTRc REAL
@ATTRIBUTE CRFAOa REAL
@ATTRIBUTE CNCTemp REAL
@ATTRIBUTE CRFCWOad REAL
@ATTRIBUTE CRFNOa REAL
@ATTRIBUTE CNCAdd REAL
@ATTRIBUTE WRDPRP2 REAL
@ATTRIBUTE CRFCWO1d REAL
@ATTRIBUTE CNCLogic REAL
@ATTRIBUTE WRDNOUN REAL
@ATTRIBUTE LDTTRa REAL
@ATTRIBUTE CRFCWO1 REAL
@ATTRIBUTE CNCAll REAL
@ATTRIBUTE WRDPRP3s REAL
@ATTRIBUTE DESPL REAL
@ATTRIBUTE WRDPRP3p REAL
@ATTRIBUTE DESSLd REAL
@ATTRIBUTE WRDPRP1s REAL
@ATTRIBUTE DESWLlt REAL
@ATTRIBUTE CRFANP1a REAL
@ATTRIBUTE WRDPRP1p REAL
@ATTRIBUTE CRFNO1 REAL
@ATTRIBUTE WRDADV REAL
@ATTRIBUTE DESPC REAL
@ATTRIBUTE class {simple,complejo}

@DATA
0.666667,0.000000,0.014000,0.010000,5.000000,1.023080,2.505232,1.923077,0.198501,7.000000,0.000000,0.571429,0.833333,286.000000,40.857143,0.063000,0.003000,7.000000,0.592105,89.224135,0.001000,0.550562,0.836735,0.005000,0.135397,0.551020,0.012000,0.000000,0.041873,0.011000,0.056000,0.496875,0.162301,0.020000,0.009000,87.681241,0.001000,15.910464,0.000000,4.370629,0.000000,0.000000,0.666667,0.014000,2.000000,simple
0.692308,0.000000,0.023000,0.011000,7.000000,1.052869,2.494447,1.913158,0.162879,14.000000,0.000000,0.724490,0.769231,380.000000,27.142857,0.080000,0.004000,14.000000,0.731959,88.609562,0.001000,0.490196,0.908163,0.001000,0.106918,0.724490,0.015000,0.000000,0.067375,0.015000,0.074000,0.457831,0.157824,0.021000,0.011000,204.196800,0.000000,10.465012,0.000000,4.255263,0.000000,0.000000,0.692308,0.033000,3.000000,simple
0.500000,0.000000,0.021000,0.015000,7.000000,1.139417,2.838483,2.046838,0.144671,15.000000,0.000000,0.471111,0.928571,427.000000,28.466667,0.098000,0.005000,15.000000,0.630252,80.842196,0.001000,0.533499,0.813333,0.002000,0.108389,0.440000,0.013000,0.002000,0.068639,0.012000,0.074000,0.483333,0.149167,0.021000,0.012000,41.186567,0.001000,13.937958,0.000000,4.576112,0.000000,0.000000,0.428571,0.031000,4.000000,simple
0.130435,0.000000,0.014000,0.009000,5.000000,1.109323,2.593990,1.980337,0.097440,24.000000,0.000000,0.102431,0.304348,356.000000,14.833333,0.073000,0.004000,24.000000,0.598039,81.945334,0.002000,0.629080,0.258681,0.004000,0.092907,0.088542,0.011000,0.000000,0.041056,0.011000,0.073000,0.558313,0.086275,0.021000,0.004000,259.508189,0.004000,7.665091,0.000000,4.528090,0.000000,0.001000,0.086957,0.026000,2.000000,simple
0.294118,0.000000,0.011000,0.009000,6.000000,1.165096,2.698671,1.970779,0.134688,18.000000,0.000000,0.290123,0.529412,308.000000,17.111111,0.068000,0.006000,17.000000,0.740260,83.317385,0.001000,0.545139,0.512346,0.003000,0.098220,0.265432,0.008000,0.001000,0.042463,0.008000,0.063000,0.494253,0.120041,0.018000,0.007000,94.045202,0.000000,5.529481,0.001000,4.347403,0.000000,0.000000,0.235294,0.019000,2.000000,simple
0.208333,0.000000,0.027000,0.025000,4.000000,1.066177,2.582513,1.995736,0.089230,25.000000,0.000000,0.208000,0.333333,469.000000,18.760000,0.103000,0.001000,25.000000,0.666667,82.476298,0.001000,0.536199,0.337600,0.005000,0.094485,0.160000,0.013000,0.000000,0.048563,0.012000,0.087000,0.463768,0.069935,0.020000,0.014000,146.248647,0.000000,15.454988,0.003000,4.565032,0.000000,0.008000,0.125000,0.024000,4.000000,simple
0.250000,0.000000,0.007000,0.017000,3.000000,1.048724,2.554595,1.870432,0.116186,17.000000,0.000000,0.193772,0.500000,301.000000,17.705882,0.069000,0.000000,17.000000,0.712500,89.529042,0.002000,0.587189,0.432526,0.005000,0.106971,0.166090,0.012000,0.001000,0.050653,0.013000,0.062000,0.527859,0.105892,0.019000,0.003000,117.379726,0.000000,11.111732,0.010000,4.259136,0.000000,0.003000,0.187500,0.014000,2.000000,simple
0.277778,0.000000,0.017000,0.006000,4.000000,1.010009,2.594777,1.973294,0.120878,19.000000,0.000000,0.277008,0.666667,337.000000,17.736842,0.065000,0.002000,19.000000,0.642105,83.218654,0.002000,0.553459,0.684211,0.000000,0.099130,0.224377,0.013000,0.000000,0.034601,0.013000,0.080000,0.501348,0.102716,0.017000,0.001000,16.970563,0.004000,6.126827,0.000000,4.495549,0.000000,0.001000,0.222222,0.021000,2.000000,simple
0.100000,0.000000,0.010000,0.005000,3.000000,1.161124,2.674427,2.012245,0.093219,21.000000,0.000000,0.208617,0.200000,245.000000,11.666667,0.052000,0.001000,19.000000,0.736111,79.059253,0.000000,0.613734,0.297052,0.001000,0.108532,0.142857,0.006000,0.000000,0.050794,0.007000,0.057000,0.526316,0.053243,0.009000,0.003000,114.551299,0.001000,9.901178,0.000000,4.510204,0.000000,0.001000,0.100000,0.019000,2.000000,simple
0.080000,0.000000,0.026000,0.014000,7.000000,1.090374,2.698879,1.992147,0.093068,26.000000,0.000000,0.211538,0.240000,382.000000,14.692308,0.079000,0.002000,25.000000,0.714286,81.417871,0.002000,0.577778,0.353550,0.002000,0.092296,0.173077,0.013000,0.002000,0.041670,0.013000,0.080000,0.500000,0.068640,0.019000,0.004000,83.438600,0.005000,7.973803,0.002000,4.528796,0.000000,0.001000,0.080000,0.022000,2.000000,simple
